Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),1.37,0.05
kexAB (s^-1),4697,278
R1 (s^-1),2.26,0.07
R2 (s^-1),19.16,0.27
Red. Chi-sq,0.33
