Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),1.20,0.05
kexAB (s^-1),4697,278
R1 (s^-1),2.49,0.10
R2 (s^-1),29.57,0.28
Red. Chi-sq,0.33
