Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.200,1.200
dwB (ppm),2.87,0.04
kexAB (s^-1),1494,57
R1 (s^-1),4.98,0.10
R2 (s^-1),11.67,0.18
Red. Chi-sq,2.53
