Fit #1
G7N1_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.137,0.036
dwB (ppm),-2.39,0.26
kexAB (s^-1),549,166
R1 (s^-1),2.03,0.02
R2 (s^-1),8.52,0.03
Red. Chi-sq,0.79
