Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.400,2.400
dwB (ppm),3.04,0.01
kexAB (s^-1),2377,37
R1 (s^-1),1.26,0.11
R2 (s^-1),18.12,0.20
Red. Chi-sq,0.09
