Date : 10/16/2019	Time : 23:35:14	
C:\UVWINLAB\DNA161U1.SP	
15.00	0.6499
15.20	0.6498
15.40	0.6500
15.60	0.6501
15.80	0.6503
16.00	0.6505
16.20	0.6505
16.40	0.6507
16.60	0.6508
16.80	0.6510
17.00	0.6511
17.20	0.6512
17.40	0.6515
17.60	0.6517
17.80	0.6519
18.00	0.6519
18.20	0.6524
18.40	0.6524
18.60	0.6528
18.80	0.6531
19.00	0.6532
19.20	0.6534
19.40	0.6536
19.60	0.6541
19.80	0.6544
20.00	0.6544
20.20	0.6546
20.40	0.6549
20.60	0.6552
20.80	0.6556
21.00	0.6559
21.20	0.6560
21.40	0.6565
21.60	0.6567
21.80	0.6572
22.00	0.6573
22.20	0.6575
22.40	0.6579
22.60	0.6582
22.80	0.6586
23.00	0.6590
23.20	0.6593
23.40	0.6597
23.60	0.6601
23.80	0.6604
24.00	0.6609
24.20	0.6614
24.40	0.6616
24.60	0.6621
24.80	0.6625
25.00	0.6629
25.20	0.6633
25.40	0.6637
25.60	0.6642
25.80	0.6647
26.00	0.6651
26.20	0.6653
26.40	0.6658
26.60	0.6664
26.80	0.6665
27.00	0.6670
27.20	0.6675
27.40	0.6679
27.60	0.6683
27.80	0.6685
28.00	0.6691
28.20	0.6694
28.40	0.6698
28.60	0.6701
28.80	0.6708
29.00	0.6711
29.20	0.6716
29.40	0.6720
29.60	0.6724
29.80	0.6727
30.00	0.6733
30.20	0.6738
30.40	0.6745
30.60	0.6748
30.80	0.6752
31.00	0.6756
31.20	0.6761
31.40	0.6765
31.60	0.6769
31.80	0.6775
32.00	0.6779
32.20	0.6783
32.50	0.6792
32.70	0.6797
33.00	0.6803
33.20	0.6809
33.50	0.6817
33.70	0.6820
34.00	0.6828
34.20	0.6833
34.50	0.6840
34.70	0.6844
35.00	0.6850
35.20	0.6856
35.50	0.6863
35.70	0.6866
36.00	0.6872
36.20	0.6878
36.50	0.6884
36.70	0.6886
37.00	0.6894
37.20	0.6898
37.50	0.6904
37.70	0.6908
38.00	0.6914
38.20	0.6918
38.50	0.6926
38.70	0.6927
39.00	0.6935
39.20	0.6938
39.50	0.6942
39.70	0.6945
40.00	0.6949
40.20	0.6954
40.50	0.6960
40.70	0.6960
41.00	0.6971
41.20	0.6974
41.50	0.6981
41.70	0.6982
42.00	0.6989
42.20	0.6991
42.50	0.6997
42.70	0.6997
43.00	0.7004
43.20	0.7007
43.50	0.7014
43.70	0.7016
44.00	0.7021
44.20	0.7023
44.50	0.7029
44.70	0.7029
45.00	0.7037
45.20	0.7040
45.50	0.7045
45.70	0.7047
46.00	0.7051
46.20	0.7055
46.50	0.7059
46.70	0.7059
47.00	0.7064
47.20	0.7068
47.50	0.7071
47.70	0.7075
48.00	0.7079
48.20	0.7082
48.50	0.7087
48.70	0.7087
49.00	0.7093
49.20	0.7094
49.50	0.7100
49.70	0.7099
50.00	0.7105
50.20	0.7107
50.50	0.7112
50.70	0.7112
51.00	0.7119
51.20	0.7122
51.50	0.7126
51.70	0.7128
52.00	0.7130
52.20	0.7134
52.50	0.7136
52.70	0.7136
53.00	0.7141
53.20	0.7143
53.50	0.7147
53.70	0.7150
54.00	0.7152
54.20	0.7155
54.50	0.7160
54.70	0.7160
55.00	0.7165
Date : 10/17/2019	Time : 00:30:41	


Date : 10/17/2019	Time : 00:30:41	
C:\UVWINLAB\DNA161D1.SP	
55.00	0.7183
54.80	0.7180
54.50	0.7175
54.30	0.7174
54.00	0.7171
53.80	0.7169
53.50	0.7163
53.30	0.7162
53.00	0.7159
52.80	0.7156
52.50	0.7151
52.30	0.7149
52.00	0.7145
51.80	0.7143
51.50	0.7136
51.30	0.7136
51.00	0.7134
50.80	0.7134
50.50	0.7133
50.30	0.7134
50.00	0.7131
49.80	0.7128
49.50	0.7123
49.30	0.7118
49.00	0.7114
48.80	0.7111
48.50	0.7109
48.30	0.7106
48.00	0.7100
47.80	0.7098
47.50	0.7094
47.30	0.7089
47.00	0.7086
46.80	0.7083
46.50	0.7079
46.30	0.7076
46.00	0.7072
45.80	0.7071
45.50	0.7067
45.30	0.7064
45.00	0.7060
44.80	0.7058
44.50	0.7051
44.30	0.7048
44.00	0.7041
43.80	0.7037
43.50	0.7033
43.30	0.7029
43.00	0.7023
42.80	0.7021
42.50	0.7017
42.30	0.7011
42.00	0.7006
41.80	0.7002
41.50	0.6996
41.30	0.6995
41.00	0.6989
40.80	0.6984
40.50	0.6979
40.30	0.6975
40.00	0.6969
39.80	0.6966
