Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),2.71,0.08
kexAB (s^-1),3222,154
R1 (s^-1),2.22,0.08
R2 (s^-1),30.40,0.16
Red. Chi-sq,0.18
