Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),3.19,0.06
kexAB (s^-1),3222,154
R1 (s^-1),1.86,0.06
R2 (s^-1),20.21,0.14
Red. Chi-sq,0.18
