Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),7.05,50.44
kexAB (s^-1),4433,95221
R1 (s^-1),6.22,0.79
R2 (s^-1),17.75,3.29
Red. Chi-sq,144.48
