Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),5.000,5.000
dwB (ppm),0.29,0.02
kexAB (s^-1),1528,432
R1 (s^-1),4.73,0.06
R2 (s^-1),20.89,0.10
Red. Chi-sq,1.78
