Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),1.99,0.11
kexAB (s^-1),5770,475
R1 (s^-1),1.73,0.25
R2 (s^-1),22.50,1.20
Red. Chi-sq,0.74
