Fit #1
g10c8 Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),2.28,0.15
kexAB (s^-1),5458,370
R1 (s^-1),2.75,0.68
R2 (s^-1),18.68,1.80
Red. Chi-sq,3.94
