Fit #1
g10c1p Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),2.58,0.11
kexAB (s^-1),5458,370
R1 (s^-1),3.56,0.33
R2 (s^-1),8.19,1.27
Red. Chi-sq,3.94
