Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),4.27,4.27
kexAB (s^-1),100000,942631
R1 (s^-1),0.98,0.10
R2 (s^-1),31.49,7.60
Red. Chi-sq,0.18
