Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),2.48,0.02
kexAB (s^-1),51,1
R1 (s^-1),1.91,0.11
R2 (s^-1),22.85,0.13
Red. Chi-sq,0.57
