Date : 9/26/2019	Time : 16:00:24	
C:\UVWINLAB\DNA81U1.SP	
15.00	0.6101
15.20	0.6100
15.40	0.6102
15.60	0.6099
15.80	0.6101
16.00	0.6102
16.20	0.6102
16.40	0.6104
16.60	0.6103
16.80	0.6106
17.00	0.6106
17.20	0.6107
17.40	0.6109
17.60	0.6111
17.80	0.6112
18.00	0.6114
18.20	0.6116
18.40	0.6117
18.60	0.6119
18.80	0.6120
19.00	0.6122
19.20	0.6123
19.40	0.6123
19.60	0.6125
19.80	0.6127
20.00	0.6129
20.20	0.6129
20.40	0.6131
20.70	0.6133
20.90	0.6134
21.10	0.6135
21.30	0.6137
21.50	0.6137
21.70	0.6140
21.90	0.6140
22.10	0.6144
22.30	0.6144
22.50	0.6149
22.70	0.6149
22.90	0.6152
23.10	0.6155
23.30	0.6158
23.50	0.6158
23.70	0.6162
23.90	0.6162
24.10	0.6166
24.30	0.6166
24.50	0.6170
24.70	0.6170
24.90	0.6173
25.10	0.6174
25.30	0.6177
25.50	0.6177
25.70	0.6180
25.90	0.6180
26.10	0.6184
26.30	0.6184
26.50	0.6188
26.70	0.6188
26.90	0.6191
27.10	0.6194
27.30	0.6196
27.50	0.6196
27.70	0.6202
27.90	0.6202
28.10	0.6207
28.30	0.6207
28.50	0.6213
28.70	0.6213
28.90	0.6218
29.10	0.6218
29.30	0.6225
29.50	0.6225
29.70	0.6230
29.90	0.6230
30.10	0.6239
30.30	0.6239
30.50	0.6243
30.70	0.6243
30.90	0.6250
31.10	0.6250
31.30	0.6257
31.50	0.6257
31.70	0.6264
31.90	0.6264
32.10	0.6270
32.40	0.6279
32.60	0.6282
32.90	0.6288
33.10	0.6288
33.40	0.6298
33.60	0.6302
33.90	0.6306
34.10	0.6312
34.40	0.6317
34.60	0.6322
34.90	0.6328
35.10	0.6328
35.40	0.6340
35.60	0.6342
35.90	0.6348
36.10	0.6353
36.40	0.6360
36.60	0.6366
36.90	0.6374
37.10	0.6374
37.40	0.6386
37.60	0.6392
37.90	0.6399
38.10	0.6405
38.40	0.6410
38.60	0.6415
38.90	0.6424
39.10	0.6424
39.40	0.6438
39.60	0.6436
39.90	0.6444
40.10	0.6449
40.40	0.6456
40.60	0.6463
40.90	0.6472
41.10	0.6472
41.40	0.6486
41.60	0.6491
41.90	0.6498
42.10	0.6503
42.40	0.6510
42.60	0.6513
42.90	0.6522
43.10	0.6522
43.40	0.6536
43.60	0.6540
43.90	0.6546
44.10	0.6550
44.40	0.6558
44.60	0.6561
44.90	0.6568
45.10	0.6568
45.40	0.6577
45.60	0.6580
45.90	0.6587
46.10	0.6591
46.40	0.6597
46.60	0.6600
46.90	0.6605
47.10	0.6605
47.40	0.6613
47.60	0.6617
47.90	0.6622
48.10	0.6625
48.40	0.6630
48.60	0.6631
48.90	0.6638
49.10	0.6638
49.40	0.6643
49.60	0.6647
49.90	0.6650
50.10	0.6653
50.40	0.6658
50.60	0.6662
50.90	0.6665
51.10	0.6665
51.40	0.6671
51.60	0.6673
51.90	0.6676
52.10	0.6680
52.40	0.6684
52.60	0.6686
52.90	0.6689
53.10	0.6689
53.40	0.6695
53.60	0.6697
53.90	0.6701
54.10	0.6704
54.40	0.6707
54.60	0.6709
54.90	0.6714
55.10	0.6714
55.40	0.6717
55.60	0.6719
55.90	0.6724
56.10	0.6725
56.40	0.6729
56.60	0.6730
56.90	0.6735
57.10	0.6735
57.40	0.6740
57.60	0.6741
57.90	0.6746
58.10	0.6747
58.40	0.6750
58.60	0.6754
58.90	0.6756
59.10	0.6756
59.40	0.6763
59.60	0.6765
59.90	0.6768
60.10	0.6770
60.40	0.6774
60.60	0.6777
60.90	0.6781
61.10	0.6781
61.40	0.6787
61.60	0.6788
61.90	0.6791
62.10	0.6793
62.40	0.6797
62.60	0.6801
62.90	0.6805
63.10	0.6805
63.40	0.6809
63.60	0.6813
63.90	0.6817
64.10	0.6817
64.30	0.6819
64.50	0.6823
64.70	0.6823
64.90	0.6825
65.20	0.6828
65.40	0.6832
65.70	0.6835
65.90	0.6839
66.20	0.6843
66.40	0.6843
66.70	0.6848
66.90	0.6852
67.20	0.6851
67.40	0.6852
67.70	0.6857
67.90	0.6857
68.20	0.6861
68.40	0.6863
68.70	0.6868
68.90	0.6871
69.20	0.6874
69.40	0.6876
69.70	0.6880
69.90	0.6880
70.20	0.6884
70.40	0.6884
70.70	0.6888
70.90	0.6890
71.20	0.6892
71.40	0.6894
71.70	0.6897
71.90	0.6897
