Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),5.05,0.80
kexAB (s^-1),2906,1839
R1 (s^-1),2.42,0.08
R2 (s^-1),13.62,0.28
Red. Chi-sq,0.43
