Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),4.27,4.27
kexAB (s^-1),10,4
R1 (s^-1),1.05,0.20
R2 (s^-1),30.57,0.36
Red. Chi-sq,0.72
