Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),5.08,0.13
kexAB (s^-1),482,17
R1 (s^-1),2.51,0.07
R2 (s^-1),19.92,0.09
Red. Chi-sq,0.42
