Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),2.80,0.09
kexAB (s^-1),3526,265
R1 (s^-1),2.95,0.07
R2 (s^-1),23.46,0.24
Red. Chi-sq,0.30
