Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),5.03,1.25
kexAB (s^-1),3905,2275
R1 (s^-1),2.25,1.76
R2 (s^-1),37.02,4.03
Red. Chi-sq,13.76
