Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),5.52,1.00
kexAB (s^-1),3905,2275
R1 (s^-1),3.60,1.43
R2 (s^-1),30.02,3.79
Red. Chi-sq,13.76
