Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.060,0.060
dwB (ppm),3.20,0.45
kexAB (s^-1),2070,1068
R1 (s^-1),1.56,0.10
R2 (s^-1),14.91,0.20
Red. Chi-sq,0.31
