Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),0.96,0.09
kexAB (s^-1),1644,298
R1 (s^-1),1.54,0.04
R2 (s^-1),21.35,0.07
Red. Chi-sq,1.00
