Fit #1
G7C8_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),1.34,0.13
kexAB (s^-1),1644,298
R1 (s^-1),1.53,0.07
R2 (s^-1),30.42,0.11
Red. Chi-sq,1.00
