Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.672,0.034
dwB (ppm),3.26,0.03
kexAB (s^-1),1798,45
R1 (s^-1),0.67,0.20
R2 (s^-1),19.74,0.32
Red. Chi-sq,0.29
