Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.672,0.034
dwB (ppm),2.68,0.04
kexAB (s^-1),1798,45
R1 (s^-1),0.88,0.24
R2 (s^-1),30.12,0.36
Red. Chi-sq,0.29
