Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),5.48,1.33
kexAB (s^-1),3512,2611
R1 (s^-1),5.75,0.59
R2 (s^-1),13.88,2.04
Red. Chi-sq,80.22
