Fit #1
ac8 Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.77,0.03
kexAB (s^-1),46,2
R1 (s^-1),1.41,0.16
R2 (s^-1),30.61,0.15
Red. Chi-sq,0.53
