Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.800,2.800
dwB (ppm),3.06,0.02
kexAB (s^-1),1857,31
R1 (s^-1),0.68,0.15
R2 (s^-1),20.17,0.24
Red. Chi-sq,0.17
