Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.800,2.800
dwB (ppm),2.50,0.02
kexAB (s^-1),1857,31
R1 (s^-1),1.02,0.18
R2 (s^-1),30.67,0.27
Red. Chi-sq,0.17
