Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.63,0.12
kexAB (s^-1),4210,439
R1 (s^-1),2.33,0.13
R2 (s^-1),25.48,0.49
Red. Chi-sq,1.09
