Fit #1
gc1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),1.65,0.11
kexAB (s^-1),4210,439
R1 (s^-1),2.12,0.14
R2 (s^-1),16.56,0.43
Red. Chi-sq,1.09
