Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.050,0.050
dwB (ppm),6.91,12.49
kexAB (s^-1),4390,18572
R1 (s^-1),4.16,1.33
R2 (s^-1),36.80,3.51
Red. Chi-sq,8.69
