Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),1.93,0.10
kexAB (s^-1),3554,325
R1 (s^-1),2.03,0.13
R2 (s^-1),16.78,0.34
Red. Chi-sq,0.93
