Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.700,0.700
dwB (ppm),1.91,0.11
kexAB (s^-1),3554,325
R1 (s^-1),2.23,0.12
R2 (s^-1),25.66,0.40
Red. Chi-sq,0.93
