Date : 6/5/2019	Time : 20:59:23	
C:\UVWINLAB\DNA1041U1.SP	
15.00	0.5616
15.50	0.5622
16.00	0.5626
16.50	0.5635
17.00	0.5642
17.50	0.5650
18.00	0.5659
18.50	0.5667
19.00	0.5680
19.50	0.5692
20.00	0.5705
20.50	0.5718
21.00	0.5735
21.50	0.5748
22.00	0.5764
22.50	0.5780
23.00	0.5800
23.50	0.5817
24.00	0.5837
24.50	0.5859
25.00	0.5879
25.50	0.5898
26.00	0.5922
26.50	0.5943
27.00	0.5967
27.50	0.5996
28.00	0.6022
28.50	0.6050
29.00	0.6079
29.50	0.6113
30.00	0.6142
30.50	0.6179
31.00	0.6210
31.50	0.6253
32.00	0.6289
32.50	0.6326
33.00	0.6358
33.50	0.6399
34.00	0.6439
34.50	0.6479
35.00	0.6511
35.50	0.6542
36.00	0.6568
36.50	0.6599
37.00	0.6627
37.50	0.6654
38.00	0.6675
38.50	0.6697
39.00	0.6713
39.50	0.6725
40.00	0.6741
40.50	0.6755
41.00	0.6769
41.50	0.6780
42.00	0.6788
42.50	0.6798
43.00	0.6807
43.50	0.6815
44.00	0.6818
44.50	0.6824
45.00	0.6829
45.50	0.6835
46.00	0.6840
46.50	0.6846
47.00	0.6851
47.50	0.6855
48.00	0.6859
48.50	0.6862
49.00	0.6865
49.50	0.6867
50.00	0.6872
50.50	0.6875
51.00	0.6880
51.50	0.6882
52.00	0.6887
52.50	0.6890
53.00	0.6893
53.50	0.6897
54.00	0.6899
54.50	0.6904
55.00	0.6906
55.50	0.6910
56.00	0.6913
56.50	0.6918
57.00	0.6923
57.50	0.6926
58.00	0.6930
58.50	0.6933
59.00	0.6938
59.50	0.6940
60.00	0.6946
60.50	0.6949
61.00	0.6953
61.50	0.6959
62.00	0.6961
62.50	0.6965
63.00	0.6970
63.50	0.6975
64.00	0.6978
