Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.68,0.87
kexAB (s^-1),2116,830
R1 (s^-1),3.91,0.15
R2 (s^-1),21.48,0.46
Red. Chi-sq,5.66
