Fit #1
A21_C1p_Off Pars,Fit Value,Error
pB (%),0.204,0.029
dwB (ppm),2.86,0.20
kexAB (s^-1),1099,263
R1 (s^-1),1.67,0.07
R2 (s^-1),14.44,0.12
Red. Chi-sq,0.20
