Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.60,0.30
kexAB (s^-1),1767,280
R1 (s^-1),3.00,0.13
R2 (s^-1),14.25,0.33
Red. Chi-sq,3.35
