Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),4.35,0.32
kexAB (s^-1),1767,280
R1 (s^-1),3.66,0.11
R2 (s^-1),20.66,0.33
Red. Chi-sq,3.35
