Fit #1
gc8 Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.71,0.08
kexAB (s^-1),206,8
R1 (s^-1),2.16,0.06
R2 (s^-1),24.06,0.06
Red. Chi-sq,0.14
