Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),3.93,0.03
kexAB (s^-1),153,2
R1 (s^-1),2.23,0.04
R2 (s^-1),13.95,0.08
Red. Chi-sq,0.43
