Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),3.70,0.02
kexAB (s^-1),153,2
R1 (s^-1),2.75,0.04
R2 (s^-1),20.31,0.08
Red. Chi-sq,0.43
