Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.600,2.600
dwB (ppm),2.61,0.02
kexAB (s^-1),1969,31
R1 (s^-1),1.00,0.16
R2 (s^-1),30.38,0.25
Red. Chi-sq,0.14
