Fit #1
ac1p Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),4.66,0.34
kexAB (s^-1),3225,740
R1 (s^-1),2.47,1.00
R2 (s^-1),24.52,2.31
Red. Chi-sq,6.79
