Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),2.58,0.09
kexAB (s^-1),4530,289
R1 (s^-1),3.27,0.07
R2 (s^-1),18.44,0.18
Red. Chi-sq,0.48
