Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.350,0.350
dwB (ppm),2.76,0.08
kexAB (s^-1),755,34
R1 (s^-1),2.18,0.05
R2 (s^-1),23.90,0.07
Red. Chi-sq,0.12
