Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),3.25,0.14
kexAB (s^-1),100,7
R1 (s^-1),2.50,0.13
R2 (s^-1),26.89,0.18
Red. Chi-sq,0.72
