Fit #1
gc1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.79,0.08
kexAB (s^-1),5476,846
R1 (s^-1),3.62,0.14
R2 (s^-1),11.07,0.90
Red. Chi-sq,6.17
