Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.76,0.08
kexAB (s^-1),5476,846
R1 (s^-1),4.14,0.12
R2 (s^-1),17.52,0.87
Red. Chi-sq,6.17
