Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),2.79,0.08
kexAB (s^-1),990,52
R1 (s^-1),2.20,0.05
R2 (s^-1),23.81,0.07
Red. Chi-sq,0.12
