Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),0.55,0.20
kexAB (s^-1),5509,2763
R1 (s^-1),1.73,0.08
R2 (s^-1),14.68,0.42
Red. Chi-sq,0.37
