Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),1.57,0.06
kexAB (s^-1),58,7
R1 (s^-1),2.96,0.13
R2 (s^-1),27.25,0.19
Red. Chi-sq,0.96
