Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),3.58,0.16
kexAB (s^-1),1912,219
R1 (s^-1),2.27,0.07
R2 (s^-1),23.70,0.11
Red. Chi-sq,0.17
