Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),4.05,0.22
kexAB (s^-1),1912,219
R1 (s^-1),1.89,0.08
R2 (s^-1),16.56,0.13
Red. Chi-sq,0.17
