Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.634,0.023
dwB (ppm),2.59,0.02
kexAB (s^-1),1950,33
R1 (s^-1),1.00,0.16
R2 (s^-1),30.43,0.25
Red. Chi-sq,0.14
