Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.634,0.023
dwB (ppm),3.16,0.02
kexAB (s^-1),1950,33
R1 (s^-1),0.75,0.14
R2 (s^-1),20.02,0.22
Red. Chi-sq,0.14
