Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),3.57,0.07
kexAB (s^-1),142,3
R1 (s^-1),1.20,0.06
R2 (s^-1),18.52,0.07
Red. Chi-sq,0.15
