Fit #1
G_C8_Off_clean Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),4.27,4.27
kexAB (s^-1),25,3
R1 (s^-1),2.57,0.05
R2 (s^-1),16.57,0.07
Red. Chi-sq,0.38
