Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),5.29,0.43
kexAB (s^-1),3112,736
R1 (s^-1),2.80,0.71
R2 (s^-1),23.12,1.51
Red. Chi-sq,3.15
