Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.650,0.650
dwB (ppm),4.57,0.46
kexAB (s^-1),3112,736
R1 (s^-1),2.52,0.79
R2 (s^-1),29.08,1.69
Red. Chi-sq,3.15
