Fit #1
G_C1p_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),4.12,4.12
kexAB (s^-1),521,35
R1 (s^-1),2.11,0.03
R2 (s^-1),14.20,0.04
Red. Chi-sq,0.27
