Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),4.27,4.27
kexAB (s^-1),521,35
R1 (s^-1),2.43,0.04
R2 (s^-1),20.30,0.05
Red. Chi-sq,0.27
